,start_time,blendshapes
10,5300.0,"[Category(index=9, score=0.30443134903907776, display_name='', category_name='eyeBlinkLeft'), Category(index=16, score=0.2308088093996048, display_name='', category_name='eyeLookOutRight'), Category(index=19, score=0.4694257974624634, display_name='', category_name='eyeSquintLeft'), Category(index=20, score=0.4767625331878662, display_name='', category_name='eyeSquintRight'), Category(index=36, score=0.5521363019943237, display_name='', category_name='mouthPressLeft'), Category(index=37, score=0.21020850539207458, display_name='', category_name='mouthPressRight'), Category(index=40, score=0.21346816420555115, display_name='', category_name='mouthRollLower'), Category(index=42, score=0.6435109376907349, display_name='', category_name='mouthShrugLower'), Category(index=44, score=0.5978012084960938, display_name='', category_name='mouthSmileLeft'), Category(index=45, score=0.5184837579727173, display_name='', category_name='mouthSmileRight')]"
11,5200.0,"[Category(index=9, score=0.29107627272605896, display_name='', category_name='eyeBlinkLeft'), Category(index=10, score=0.20453019440174103, display_name='', category_name='eyeBlinkRight'), Category(index=19, score=0.4588199853897095, display_name='', category_name='eyeSquintLeft'), Category(index=20, score=0.4809738099575043, display_name='', category_name='eyeSquintRight'), Category(index=36, score=0.5649769306182861, display_name='', category_name='mouthPressLeft'), Category(index=40, score=0.27576351165771484, display_name='', category_name='mouthRollLower'), Category(index=42, score=0.7387288808822632, display_name='', category_name='mouthShrugLower'), Category(index=44, score=0.5929555892944336, display_name='', category_name='mouthSmileLeft'), Category(index=45, score=0.5102003812789917, display_name='', category_name='mouthSmileRight')]"
12,5100.0,"[Category(index=9, score=0.2847936451435089, display_name='', category_name='eyeBlinkLeft'), Category(index=10, score=0.2609449625015259, display_name='', category_name='eyeBlinkRight'), Category(index=11, score=0.21428163349628448, display_name='', category_name='eyeLookDownLeft'), Category(index=12, score=0.22699913382530212, display_name='', category_name='eyeLookDownRight'), Category(index=15, score=0.315334290266037, display_name='', category_name='eyeLookOutLeft'), Category(index=19, score=0.5935466289520264, display_name='', category_name='eyeSquintLeft'), Category(index=20, score=0.5360120534896851, display_name='', category_name='eyeSquintRight'), Category(index=36, score=0.5413374900817871, display_name='', category_name='mouthPressLeft'), Category(index=42, score=0.5935064554214478, display_name='', category_name='mouthShrugLower'), Category(index=44, score=0.5619828701019287, display_name='', category_name='mouthSmileLeft'), Category(index=45, score=0.5053879022598267, display_name='', category_name='mouthSmileRight')]"
13,5033.333333333333,"[Category(index=9, score=0.291914701461792, display_name='', category_name='eyeBlinkLeft'), Category(index=10, score=0.20663698017597198, display_name='', category_name='eyeBlinkRight'), Category(index=16, score=0.21737872064113617, display_name='', category_name='eyeLookOutRight'), Category(index=19, score=0.5644306540489197, display_name='', category_name='eyeSquintLeft'), Category(index=20, score=0.44741880893707275, display_name='', category_name='eyeSquintRight'), Category(index=36, score=0.5688229203224182, display_name='', category_name='mouthPressLeft'), Category(index=37, score=0.2439652681350708, display_name='', category_name='mouthPressRight'), Category(index=42, score=0.6501634120941162, display_name='', category_name='mouthShrugLower'), Category(index=44, score=0.45092421770095825, display_name='', category_name='mouthSmileLeft'), Category(index=45, score=0.42333677411079407, display_name='', category_name='mouthSmileRight')]"
14,4933.333333333334,"[Category(index=17, score=0.23226678371429443, display_name='', category_name='eyeLookUpLeft'), Category(index=18, score=0.24781380593776703, display_name='', category_name='eyeLookUpRight'), Category(index=19, score=0.486558198928833, display_name='', category_name='eyeSquintLeft'), Category(index=20, score=0.45988771319389343, display_name='', category_name='eyeSquintRight'), Category(index=36, score=0.4794061779975891, display_name='', category_name='mouthPressLeft'), Category(index=42, score=0.5695323944091797, display_name='', category_name='mouthShrugLower'), Category(index=44, score=0.23621143400669098, display_name='', category_name='mouthSmileLeft'), Category(index=45, score=0.258892685174942, display_name='', category_name='mouthSmileRight')]"
15,4833.333333333333,"[Category(index=18, score=0.2015661895275116, display_name='', category_name='eyeLookUpRight'), Category(index=19, score=0.3334586024284363, display_name='', category_name='eyeSquintLeft'), Category(index=20, score=0.42888110876083374, display_name='', category_name='eyeSquintRight'), Category(index=36, score=0.4089333415031433, display_name='', category_name='mouthPressLeft'), Category(index=37, score=0.22955037653446198, display_name='', category_name='mouthPressRight'), Category(index=42, score=0.2569703459739685, display_name='', category_name='mouthShrugLower'), Category(index=45, score=0.20628604292869568, display_name='', category_name='mouthSmileRight')]"
16,4733.333333333333,"[Category(index=18, score=0.20497314631938934, display_name='', category_name='eyeLookUpRight'), Category(index=19, score=0.2697175443172455, display_name='', category_name='eyeSquintLeft'), Category(index=20, score=0.380428284406662, display_name='', category_name='eyeSquintRight'), Category(index=36, score=0.48537111282348633, display_name='', category_name='mouthPressLeft')]"
17,4666.666666666667,"[Category(index=4, score=0.22025634348392487, display_name='', category_name='browOuterUpLeft'), Category(index=14, score=0.2345716655254364, display_name='', category_name='eyeLookInRight'), Category(index=15, score=0.25361835956573486, display_name='', category_name='eyeLookOutLeft'), Category(index=18, score=0.22041259706020355, display_name='', category_name='eyeLookUpRight'), Category(index=19, score=0.23832210898399353, display_name='', category_name='eyeSquintLeft'), Category(index=20, score=0.5068212151527405, display_name='', category_name='eyeSquintRight'), Category(index=36, score=0.3869676887989044, display_name='', category_name='mouthPressLeft')]"
18,4600.0,"[Category(index=4, score=0.24370042979717255, display_name='', category_name='browOuterUpLeft'), Category(index=19, score=0.22816656529903412, display_name='', category_name='eyeSquintLeft'), Category(index=20, score=0.30981680750846863, display_name='', category_name='eyeSquintRight'), Category(index=36, score=0.3897058665752411, display_name='', category_name='mouthPressLeft')]"
19,4500.0,"[Category(index=19, score=0.24830304086208344, display_name='', category_name='eyeSquintLeft'), Category(index=20, score=0.24463340640068054, display_name='', category_name='eyeSquintRight'), Category(index=36, score=0.41125643253326416, display_name='', category_name='mouthPressLeft')]"
