ts,actions
46033.33333333333,"{'browOuterUpLeft': 0.4207480549812317, 'browOuterUpRight': 0.37441813945770264, 'eyeBlinkLeft': 0.3849555552005768, 'eyeBlinkRight': 0.423011839389801, 'eyeLookDownLeft': 0.6058523654937744, 'eyeLookDownRight': 0.6171756982803345, 'eyeLookInRight': 0.23197081685066223, 'eyeLookOutLeft': 0.24433685839176178, 'eyeSquintLeft': 0.5780375003814697, 'eyeSquintRight': 0.506292462348938}"
48300.0,"{'eyeLookUpLeft': 0.24810703098773956, 'eyeLookUpRight': 0.2495783418416977, 'eyeSquintLeft': 0.7591373920440674, 'eyeSquintRight': 0.6120090484619141}"
50466.66666666667,"{'browOuterUpLeft': 0.4803015887737274, 'browOuterUpRight': 0.5282303690910339, 'eyeBlinkLeft': 0.34841811656951904, 'eyeBlinkRight': 0.3375434875488281, 'eyeLookDownLeft': 0.5302959680557251, 'eyeLookDownRight': 0.5327560305595398, 'eyeLookInRight': 0.2978653907775879, 'eyeLookOutLeft': 0.29304754734039307, 'eyeSquintLeft': 0.6056299209594727, 'eyeSquintRight': 0.5150451064109802}"
52800.0,"{'browOuterUpLeft': 0.353435754776001, 'browOuterUpRight': 0.3331976532936096, 'eyeBlinkLeft': 0.4834713935852051, 'eyeBlinkRight': 0.5099981427192688, 'eyeLookDownLeft': 0.5160296559333801, 'eyeLookDownRight': 0.526924729347229, 'eyeLookInRight': 0.3829018771648407, 'eyeLookOutLeft': 0.3724643886089325, 'eyeSquintLeft': 0.625434935092926, 'eyeSquintRight': 0.46776044368743896, 'mouthPucker': 0.22434581816196442}"
55199.99999999999,"{'browOuterUpLeft': 0.27453047037124634, 'browOuterUpRight': 0.349809855222702, 'eyeLookOutLeft': 0.21150164306163788, 'eyeLookUpLeft': 0.5244917869567871, 'eyeLookUpRight': 0.5922412872314453, 'eyeSquintRight': 0.2638010084629059}"
57000.0,"{'eyeLookInLeft': 0.8146973848342896, 'eyeLookOutRight': 0.8269668817520142, 'eyeLookUpLeft': 0.39481958746910095, 'eyeLookUpRight': 0.45555201172828674, 'eyeSquintLeft': 0.25894418358802795, 'eyeSquintRight': 0.2781943380832672}"
59199.99999999999,"{'browDownRight': 0.22722738981246948, 'eyeLookInLeft': 0.59172523021698, 'eyeLookOutRight': 0.6079932451248169, 'eyeSquintLeft': 0.27988100051879883}"
61433.33333333333,"{'browOuterUpLeft': 0.3429606854915619, 'browOuterUpRight': 0.4814743399620056, 'eyeBlinkLeft': 0.3118410110473633, 'eyeBlinkRight': 0.3613112270832062, 'eyeLookDownLeft': 0.5361103415489197, 'eyeLookDownRight': 0.5524324178695679, 'eyeLookInRight': 0.2588177025318146, 'eyeLookOutLeft': 0.2586633861064911, 'eyeSquintLeft': 0.5164273977279663, 'eyeSquintRight': 0.516745924949646}"
63733.333333333336,"{'browOuterUpRight': 0.26124081015586853, 'eyeLookUpLeft': 0.27959370613098145, 'eyeLookUpRight': 0.316336065530777, 'eyeSquintLeft': 0.30484041571617126, 'eyeSquintRight': 0.29925215244293213}"
66100.0,"{'browOuterUpLeft': 0.20732563734054565, 'browOuterUpRight': 0.38033199310302734, 'eyeLookInRight': 0.7133125066757202, 'eyeLookOutLeft': 0.7272191047668457, 'eyeLookUpLeft': 0.24117262661457062, 'eyeLookUpRight': 0.27530378103256226, 'eyeSquintLeft': 0.23319461941719055, 'eyeSquintRight': 0.33504748344421387}"
68500.0,"{'browOuterUpRight': 0.25601136684417725, 'eyeBlinkLeft': 0.20843231678009033, 'eyeLookDownLeft': 0.5624945163726807, 'eyeLookDownRight': 0.5513069033622742, 'eyeSquintRight': 0.22566038370132446, 'mouthPucker': 0.20513008534908295}"
71700.0,"{'eyeBlinkLeft': 0.4864877760410309, 'eyeBlinkRight': 0.24121853709220886, 'eyeLookDownLeft': 0.32865893840789795, 'eyeLookDownRight': 0.2824046015739441, 'eyeLookInRight': 0.3174736499786377, 'eyeLookOutLeft': 0.320928692817688, 'eyeSquintRight': 0.45008739829063416, 'mouthPressLeft': 0.4226037561893463}"
73900.0,"{'browOuterUpLeft': 0.3807608485221863, 'browOuterUpRight': 0.41612082719802856, 'eyeBlinkLeft': 0.2160051017999649, 'eyeLookDownLeft': 0.5514370203018188, 'eyeLookDownRight': 0.5582059621810913, 'eyeLookInRight': 0.7585381269454956, 'eyeLookOutLeft': 0.7652590870857239, 'eyeSquintLeft': 0.29138317704200745, 'eyeSquintRight': 0.2884191870689392, 'mouthPressLeft': 0.3853219747543335}"
76133.33333333333,"{'browInnerUp': 0.46578770875930786, 'browOuterUpLeft': 0.5881006717681885, 'browOuterUpRight': 0.8192802667617798, 'eyeBlinkLeft': 0.4119930565357208, 'eyeBlinkRight': 0.33300313353538513, 'eyeLookDownLeft': 0.6699544787406921, 'eyeLookDownRight': 0.6953822374343872, 'eyeLookInRight': 0.2417656034231186, 'eyeLookOutLeft': 0.23961703479290009, 'eyeSquintLeft': 0.3402097523212433, 'eyeSquintRight': 0.4111356735229492}"
